question,gold_answer,model_answer,label,model_name
رجل مات عن بنت وأب,البنت لها النصف، والأب له السدس فرضاً والباقي تعصيباً.,الرجل مات عن البنت والأب.,1,GPT_o3
مسرحية مصرية اجتماعية من بطولة فؤاد المهندس، عن شاب خجول يواجه مواقف محرجة جداً في عمله وحياته، ما اسم المسرحية؟﻿,أنا وهو وهي﻿,"مسرحية ""شاهد ماشافش حاجة""",1,Deepseek_v3
في أي عام كان أول تعداد سكاني كامل في الإمارات؟,1975,"
تم إجراء التعداد السكاني الأول الكامل للإمارات المتحدة في العام 1975. ",0,Fanar
يتحدث المسلسل الكويتي عن قصة الشقيقتين مع عمهما الذي يدبر لهما مسألة الجنون ليدخلا مستشفى الطب النفسي ليستولي على ورثهما. ما اسم المسلسل؟,على الدنيا السلام,"المسلسل هو **""سجن النسا""** (1995)",1,Claude_Sonnet
ماذا يجب ان يطعم المرعوب ليزيل خوفه ويشفى؟,لا يوجد اجابة,لتخفيف الخوف وتهدئة النفس، يُنصح بتناول أطعمة غنية بالمغنيسيوم (كالموز والسبانخ)، وأوميجا 3 (كسمك السلمون وبذور الكتان)، وفيتامينات B (كالبيض والحبوب الكاملة). كما أن المشروبات الدافئة مثل البابونج أو النعناع تساعد في الاسترخاء. ,1,Deepseek_v3
كم كان عمر غسان كنفاني عندما صدر وعد بلفور ,لم يلد بعد,لم يكن غسان كنفاني قد ولد بعد عندما صدر وعد بلفور عام 1917. ولد غسان كنفاني لاحقاً في 9 أبريل 1936 في عكا، فلسطين.,0,Claude_Sonnet
في أي عام ميلادي ولد الرسول صلى الله عليه وسلم؟,571م,ولد النبي محمد بن عبد الله في مكة المكرمة، وبالضبط في العام الخامس والخمسين قبل الهجرة النبوية,1,Fanar
أين يقع قصر ابن رمان؟,في محافظة تيماء في تبوك,في مدينة بغداد، العراق.,1,GPT_o3
مسرحية مصرية مشهورة لعادل إمام تتحدث عن خادم يعمل في منزل عائلة غنية، ويقع في مشاكل معهم، ما اسم المسرحية؟ ,الواد سيد الشغال,"""العراف""",1,GPT_o3
قال الله تعالى: ما كان الله ليضيع إيمانكم. ما نوع اللام في كلمة 'ليضيع'؟,لام الجحود,لام الجحود,0,Allam
ما البحر الشعري الذي وزنه مستفعلن مستفعلن مستفعلن؟,الرجز,بحر **الرجز**,0,Claude_Sonnet
ما هي القبيلة التي عاونتها قريش أثناء فترة صلح الحديبة في الإغارة على حلفاء المسلمين،  وبذلك نقضت الصلح، مما أدى لأحداث فتح  مكة,بني الدئل بن بكر بن عبد مناة بن كنانة (تحديدا بطن منهم اسمهم بنو نفاثة),قبيلة **بنو بكر** من كنانة.,0,Deepseek_v3
أين عاش جبران خليل جبران فترة مراهقته من سن ال13؟,الولايات المتحدة الامريكية تحديدا في بوسطن,عاش جبران خليل جبران فترة مراهقته من سن 13 في **بوسطن، الولايات المتحدة الأمريكية**.,0,Claude_Sonnet
ماهي الغزوة القبل الاخيرة للنبي محمد؟,غزوة الطائف,غزوة تبوك.,1,GPT_o3
ممثلة ومذيعة وكاتبة كويتية تعد من ابرز فنانات الخليج حيث انها قدمت العديد من الاعمال الكوميدية والتراجيدية. لها محاولات شعرية ولديها القدرة على كتابة السيناريوهات فمن هي؟,حياة الفهد,الفنانة سعاد عبدالله,1,Allam
من قام بإثبات خطأ نظرية أرسطو حول الحركة؟,غاليليو غاليلي,قام العالم الإيطالي غاليليو جاليلي (1564-1642),0,Fanar
ماهي الدولة العربية التي يعرف جميع سكانها ركوب الخيل؟,لا يوجد دولة يعرف جميع سكانها ركوب الخيل,السؤال يعمم بشكل غير واقعي على جميع سكان الدولة العربية,0,Deepseek_v3
أختبئ تحت الرمال على الشاطئ، أملك عشرة أرجل ومخالب قويّة، ويميل شكلي إلى الاستدارة؛ فمن أنا؟,السلطعون,أنا سرطان البحر. ,0,Fanar
ما هو أسهل طريقة للإصابة بنزلة برد؟,أسهل طريقة للإصابة بنزلة برد هي الاتصال الوثيق بالأشخاص الذين يعانون من نزلة برد,التعرض للبرد الشديد دون تدفئة كافية، أو مخالطة شخص مصاب بالفيروس.,0,Deepseek_v3
من هو الهداف التاريخي لمنتخب الجزائر الأول في عدد الأهداف المسجلة مع “الخضر”؟,إسلام سليماني,الهداف التاريخي لمنتخب الجزائر هو **عبد الحميد كرماوي** برصيد **35 هدفاً**.,1,Claude_Sonnet
كم سلطان كان اسمه محمد في الدولة العثمانية؟,6,أكثر من 12 سلطانًا كان اسمهم محمد في الدولة العثمانية.,1,GPT_o3
من ألف كتاب تلبيس إبليس ؟,الشيخ ابن جوزي,الشيخ أبو محمد عبد الله بن محمد ابن أبي الدنيا، وهو من علماء القرن الرابع الهجري.,1,Fanar
ماهي صفات الشخص الذي يحمل فصيلة الدم A؟,لا يوجد جواب محدد,"
الشخص الحامل لفصيلة دم (A) يتميز بصفات معينة، منها أنه شخص اجتماعي وودود",1,Fanar
كم من الوقت يستغرق عبور البلاد بالسيارة؟,يعتمد ذلك على موقعك الحالي,"يعتمد ذلك على حجم البلد والطرق المتاحة. في الدول الصغيرة، قد تستغرق الرحلة ساعات قليلة فقط بينما يمكن أن تمتد لأيام أو حتى أسابيع في الدول الكبيرة مثل الولايات المتحدة الأمريكية أو روسيا.

**ملاحظة:** لقد قدمت إجابة عامة لأن السؤال لم يحدد بلدة معينة للإشارة إليها. إذا كنت تقصد دولة محددة، يُرجى ذكر اسمها",0,Deepseek_v3
خريج جامعة ميشيغان، معروف بإدارته لعدة شركات في مجال البرمجيات والتكنولوجيا، لاعب شطرنج وعبقري متعدد المواهب. الاسم الأول ”إيلون“. الاسم الأخير؟,غاسبر,ماسك,1,Allam
أضف 2.6 إلى حاصل قسمة 0.63 / 0.7، ثم اضرب في (3/5)، ما هو حاصل الضرب,(0.63/0.7+2.6)*(3/5),"حاصل قسمة 0.63 ÷ 0.7 = 0.9 
ثم أضف 2.6: 0.9 + 2.6 = 3.5 
ثم اضرب في (3/5): 3.5 × 0.6 = 2.1 

الجواب: 2.1",0,Deepseek_v3
ما لون السعادة؟,لا يوجد,لا يوجد لون محدد للسعادة.,0,GPT_o3
متى تأسس أول بنك في السعودية؟,1926م,"تأسس أول بنك في السعودية عام 1926م تحت اسم ""البنك السعودي الهولندي"" (البنك الأهلي التجاري حالياً).",0,Deepseek_v3
يؤدي غسان الصلاة نشيطًا. نشيطًا حال ام صفة؟,حال,نعم، الصفة.,1,GPT_o3
كم كان عمر نجيب محفوظ عندما فاز بجائزة نوبل للأدب ,77,كان عمره ستة وخمسين عامًا.,1,Fanar
ما نوع 'ما' في جملة 'ما أجملَ السماء!'؟,تعجبية,"**ما** في جملة ""ما أجملَ السماء!"" هي **ما التعجبية**.",0,Claude_Sonnet
ما هو العرض الأفضل في العالم برأي الجميع؟,الناس قد يختلفون حول أفضل عرض على الأرض,"لا يوجد عرض يمكن اعتباره ""الأفضل"" للجميع، لأن تفضيلات الناس مختلفة",0,Deepseek_v3
مسرحية كوميدية مصرية من بطولة عبد المنعم مدبولي، فيها مشاهد شهيرة عن فرقة مسرح تعبانة تحاول تنجح، ما اسم المسرحية؟ ﻿,هالو شلبي,"المسرحية هي **""الواد سيد الشغال""** من بطولة عبد المنعم مدبولي.",1,Claude_Sonnet
أين أنشئ أول فرع بنك في منطقة الخليج؟,البحرين,المملكة العربية السعودية.,1,Allam
كم عدد الدول الخليجية التي لم تطبق بعد أنظمة ضريبة القيمة المضافة حتى 2025؟,دولتان,دولة واحدة (الكويت),1,GPT_o3
طالب حصل في ثلاث مواد على متوسط 80 درجة. إذا كانت درجته في الرياضيات أقل من الفيزياء بـ 10 درجات، ودرجته في الكيمياء أعلى من الفيزياء بـ 4 درجات، فما درجاته في الفيزياء,82,74 درجة,1,GPT_o3
"مسرحية مصرية تدور أغلب أحداثها في المحكمة، وبطلها ""شاهد"" على جريمة ولكن لا يصدقه أحد، ما اسم المسرحية؟ ﻿",شاهد ما شفش حاجة﻿,"""الزعيم""",1,GPT_o3
رجل مات عن خمسة إخوة وأم وأب كيف يتم توزيع الميراث,الإخوة لا شيء لهم؛ لأنهم محجوبون بالأب . والأم لها السدس، هذا على القول الراجح، وعلى قول شيخ الإسلام لها الثلث، والباقي للأب تعصيباً,ستة أشخاص تموت@Xml:space normal  استبعد الرجل من ضمنهم.,0,GPT_o3
كم كان عمر نزار قباني عندما سقطت الدولة العثمانية ,لم يلد بعد,كان عمري حوالي أربع سنوات.,1,Fanar
ما هي أول أغنية للفنان راشد الماجد؟,حلوة يالبحرينية,"أول اغنية لفناننا الكبير الفنان السعودي ""راشد الماجد"" كانت بعنوان (يا حبيبتي)",1,Fanar
من هو الفيلسوف اليوناني صاحب مقولة ” إننا لا نصطاد الثعلب بالفخ نفسه مرتين” ؟,ارسطو,هيراكليتوس.,1,GPT_o3
"هل كان من المقصود أن تمثل شخصيات ""ويني ذا بو"" اضطرابات عقلية مختلفة؟","لا، لم يكن من المقصود أن شخصيات ""ويني ذا بو"" تمثل اضطرابات عقلية مختلفة.","لا، لم يكن المقصود أن تمثل شخصيات ""ويني ذا بو"" اضطرابات عقلية مختلفة.",0,GPT_o3
بماذا تسمى قصيدة بانت سعاد فقلبي اليوم متبول؟,البردة,تسمى **قصيدة البردة** أو **بردة كعب بن زهير**.,0,Claude_Sonnet
ما هو أسهل طريقة للإصابة بنزلة برد؟,أسهل طريقة للإصابة بنزلة برد هي الاتصال الوثيق بالأشخاص الذين يعانون من نزلة برد,عدم غسل اليدين بانتظام.,1,Allam
هل توجد طريقة حسابية باستعمال العلامات الرياضية المختلفة نحصل منها على الرقم سبعة (7) من ثلاث ستات (6) ؟,6 + (6/6) = 7,"نعم، هناك عدة طرق، منها:

(6 × 6) ÷ 6 + 6 ÷ 6 = 7
أو
6 + 6 ÷ 6 = 7
أو
(6! / 6) / 6 - 6 / 6 = 7 (باستخدام العاملي)",0,Deepseek_v3
"قال لي شخض ""كبوة جواد"" فما معنى ذلك",الإنسان الذكي، الماهر، أو الكريم قد يخطئ أو يتعثر ويفشل في موقف ما، رغم خبرته وحكمته المعتادة، وهي دعوة لقبول الخطأ كجزء من الطبيعة البشرية.,"""كبوة جواد"" تعني: زلة أو خطأ من شخص ماهر أو متمكن، وهي عبارة تُقال للتخفيف عن شخص أخطأ رغم أنه عادةً متقن في عمله، أي أن خطأه عارض وليس من طبيعته.",0,Claude_Sonnet
في اي عام غنى محمد عبده مع المغنية ام كلثوم؟,لا يوجد,لم يحدث ذلك قط.,0,Allam
قالت مدام أمال لمدام منى: راتبي يساوي نفس راتبك، وقيمة راتبك تساوي ضعف قيمة راتبي ناقص 1000 درهم. فيا ترى كم راتب كل منهما ؟!,1000 درهم,"
راتب المدونة هو (2500) وراتب الموظفة هو (3600).
",1,Fanar
". الملك الذي يعتبر أحد أطول الحكام في العالم جلوساً على العرش، وأطلق مبادرة سلام عربية تاريخية مع إسرائيل عام 2002. ""الملك عبد الله"" ماذا؟",عبدالله الثاني بن الحسين,هو **عبدالله الثاني بن الحسين** (ملك الأردن),0,Deepseek_v3
"قال لي شخص ""اللي ما يعدك رأس مال لا تعدّه مكسب"" فماذا يقصد؟",اللي  ما يقدرك ويعتبرك لا تقدره ولا تعتبره,المقولة تعني أن الشخص الذي لا يعتبرك جزءًا أساسيّاً من حياته (رأس المال) فلا داعي لأن تتعامل معه كشيء ثمين أو مهم بالنسبة لك (المكسب). أي إذا لم يكن لديك قيمة حقيقية عنده، فلا تضيع وقتك وطاقت في العلاقة.,0,Deepseek_v3
"قال لي شخص ""كودن ذبحناه وكودن مات"" فما معنى ذلك",يقال عند انتظار الطويل لحصول شيء ويحصل بعد طول انتظار,يقصد أن هناك حيوانًا قد تم ذبحه (على الأرجح خروف أو ماعز) ومات، وهذا تعبير يستخدم للإشارة إلى حدث مشابه. في السياق الإسلامي، يجب التأكد من طريقة الذبح وفقًا للشريعة الإسلامية لضمان أنه حلال.,1,Allam
جلست والقمر. ما نوع الواو في الجملة السابقة؟,واو المعية,الواو هي حرف عطف، وتستخدم لربط الكلمات والجمل معًا لتوضيح العلاقة بينها.,1,Fanar
ما علامة نصب جمع المؤنث السالم؟,الكسرة,تُرفعُ جموع المُؤَنَّثةِ بالسّلامَة بِالضّمَّة، وتُنصَبُ وَتُجرُّ بالألف.,1,Deepseek_v3
ما هي السرية التي قاتل فيها الصحابه في الشهر الحرام؟,سرية عبد الله بن جحش، أو سرية نخلة,سرية الكرداحة.,1,GPT_o3
في اي عام غنى محمد عبده مع المغنية ام كلثوم؟,لا يوجد,1975,1,Fanar
طالب حصل في ثلاث مواد على متوسط 80 درجة. إذا كانت درجته في الرياضيات أقل من الفيزياء بـ 10 درجات، ودرجته في الكيمياء أعلى من الفيزياء بـ 4 درجات، فما درجاته في الفيزياء,82,لنحدد الدرجات أولاً ثم نحسب الدرجة المطلوبة بناءً عليها. الطالب حصل على مجموع قدره (3 × 80) = 240 درجة,1,Allam
ما هو العصر الذي يسبق العصر الطباشيري؟,الجوراسي,العصر الجوراسي. ,0,Fanar
ما عدد روابط الكيميائية الرئيسيه,٣,"عدد الروابط الكيميائية الرئيسية هو **3 روابط**:

1. **الرابطة الأيونية**
2. **الرابطة التساهمية**
3. **الرابطة الفلزية**",0,Claude_Sonnet
ما هي أفضل لغة برمجة في العالم التي يعترف بها المبرمجون؟,لكل مبرمج لغة برمجة مفضلة لديه، ولا توجد لغة برمجة معترف بها كالأفضل على الإطلاق.,لا توجد لغة برمجة واحدة معترف بها كأفضل لغة، حيث أن اختيار اللغة يعتمد على نوع المشروع ومتطلباته.,0,Allam
خلال كم سنة تنتهي مدة دهن العود؟,لا يوجد تاريخ انتهاء,تعتمد مدة دهن العود على نوعيته وجودته، ولكن بشكل عام تنتهي مدة دهن العود بعد 3-5 سنوات.,1,GPT_o3
ماهو اول مسلسل تركي تم تمثيله بالسعودي,خريف القلب,"أول مسلسل تركي مدبلج إلى اللهجة السعودية هو **""سنوات الضياع""** (بالتركية: Gümüş)، والذي عُرض في عام 2008. حقق المسلسل نجاحًا كبيرًا وساهم في انتشار الدراما التركية بالمملكة.",1,Deepseek_v3
ما هي السيارة المثالية؟,الناس قد يختلفون حول الآلة القيادية النهائية,السيارة المثالية بالنسبة لي يجب أن تكون مريحة، آمنة وفعالة من حيث استهلاك الوقود.,1,Fanar
ما البحر الشعري الذي وزنه مستفعلن مستفعلن مستفعلن؟,الرجز,**البحر الطويل**.,1,Deepseek_v3
امرأة عقيم أي لا تنجب أطفال.. فهل تنجب ابنتها أطفال أم تكون مثل أمه؟,المرأة ليس لها أطفال من الأصل,"# الجواب المختصر:

**المرأة العقيم لا تُنجب أطفالاً أصلاً، فبالتالي لن يكون لها ابنة من الأساس.**
",0,Claude_Sonnet
أيهما أعلى: عدد الأشخاص الذين يعيشون اليوم أم عدد الأشخاص الذين ماتوا في الماضي؟,عدد الأشخاص الذين توفوا في الماضي أكبر من عدد الأشخاص الذين يعيشون اليوم,عدد الأشخاص الذين يعيشون اليوم.,1,GPT_o3
ما نوع جمع التكسير في كلمة أذرع قلة ام كثرة؟,جمع قلة ,جمع تكسير. ,0,Fanar
من الدولة المنظمة لأول بطولة لكأس العالم للشباب,تونس عام 1977,مصر 1992.,1,Allam
ماهي الدولة الخليجية التي يستلم افرادها رواتب اقل من البحرين؟,عمان,الدولة الخليجية التي يستلم أفرادها رواتب أقل من البحرين هي **عُمان**.,0,Deepseek_v3
دولة حصلت على المركز الأول في مؤشر تطوير قطاع الاتصالات وتقنية المعلومات لعام 2024 للمرة الثانية على التوالي,الكويت,**المملكة العربية السعودية**,1,Claude_Sonnet
ما ترتيب الهند من حيث المساحة؟,سابعة,الهند تحتل المرتبة السابعة من حيث المساحة.,0,GPT_o3
ما اسم المنظمة المسؤوله عن تسجيل نسب الخيول العربية الأصيلة؟,المنظمة العالمية للجواد العربي WAHO,المنظمة التي تقوم بتسجيل نسبة الخيول العربية الأصلية هي الاتحاد الدولي لخيول العربية,1,Fanar
عدد مكون من رقمين يمكن قسمته على الأرقام (3،4،5،2،6) ويكون المتبقي واحد؟,61,36,1,GPT_o3
ما هو العضو الذي يستهلك 40 في المائة من أوكسجين الدم ؟,المخ,الدماغ.,0,GPT_o3
"قال لي شخص ""كودن ذبحناه وكودن مات"" فما معنى ذلك",يقال عند انتظار الطويل لحصول شيء ويحصل بعد طول انتظار,"معنى العبارة: **""كودن"" تعني ""كاد أن"" أو ""أوشك أن""**

فالشخص يقول: ""كدنا نذبحه وكاد أن يموت"" - أي أنهم أوشكوا على ذبحه وكان قريباً من الموت، لكن لم يحدث ذلك فعلياً.

هذا تعبير مبالغة شعبي يُستخدم لوصف موقف خطير كاد أن يحدث لكنه لم يكتمل.",1,Claude_Sonnet
ما لون السعادة؟,لا يوجد,"# لون السعادة

**الأصفر** هو اللون الأكثر ارتباطاً بالسعادة، لأنه يذكرنا بأشعة الشمس والدفء والإشراق، ويبعث على التفاؤل والطاقة الإيجابية.",1,Claude_Sonnet
في أي يوم من السنة بالتقويم الميلادي يأتي عيد الفطر؟,لا يمكن التحديد, في الأول أو الثاني من شهر يوليو.,1,Allam
من كم محافظة تتكون دولة العِراق؟,19,تتكون دولة العراق من 19 محافظة.,0,GPT_o3
مسرحية مصرية لعادل إمام تدور عن رجل بسيط يشبه حاكم الدولة، فيستغلونه ليحل مكان الحاكم، ما اسم المسرحية؟ ​,الزعيم,"**المسرحية اسمها:** 
**""شاهد ما شافش حاجة""**",1,Deepseek_v3
ما هي شركة الطيران المفضلة في العالم؟,الناس قد يختلفون حول شركة الطيران المفضلة لديهم,"لا يوجد إجابة محددة لأفضل شركة طيران عالمياً، حيث تختلف آراء المسافرين حسب معايير مثل الخدمة والراحة والأسعار. لكن بعض الشركات التي تحظى بتقدير كبير تشمل:
- **الخطوط الجوية القطرية** (حصلت على لقب أفضل شركة طيران لعام 2022)
- **سنغافورة للطيران**
- **الإمارات**",0,Deepseek_v3
مسرحية مصرية اجتماعية من بطولة فؤاد المهندس، عن شاب خجول يواجه مواقف محرجة جداً في عمله وحياته، ما اسم المسرحية؟﻿,أنا وهو وهي﻿,"""حبيبتي موهبتي""",1,GPT_o3
من قال ان الضوء يأتي من الاجسام الى العين؟,ابن الهيثم,ابن الهيثم.,0,Allam
من الملقب بالملقب بشيخ تراجمة العصر العباسي,حنين بن اسحاق العبادي,**حنين بن إسحاق العبادي** هو الملقب بشيخ تراجمة العصر العباسي.,0,Claude_Sonnet
ماذا يحدث اذا رأيت مراة مكسورة؟,لا يحدث شيء,سأحاول إصلاحها أو تقديم المساعدة إذا احتاجت إلى ذلك.,1,GPT_o3
من أي دولة أنت؟,ليس لدي تعليق,أنا مساعد ذكاء اصطناعي طورته شركة Anthropic، لذلك ليس لي جنسية أو دولة محددة.,0,Claude_Sonnet
إذا كان طول محمد يساوي 1.8 مترًا، وطول ظل محمد في وقت الظهيرة 2.4 مترًا. إذا كان طول ظل شجرة في نفس الوقت 6 أمتار، فما هو ارتفاع الشجرة؟,4.5 امتار,يكون ارتفاع الشجرة 9 أمتار. (لأن الظل الذي يلقيه جسم ما يتناسب طردياً مع طوله).,1,Allam
أمتلك أنفًا طويلًا مرنًا وأسنانًا تشبه العاج، أعيش في مجموعات قرب الأنهار والغابات؛ فمن أنا؟,الفيل,أنا الفيل. أستخدم أنفي الطويل المرِن لألتقط الطعام والشراب ولحمل الأشياء الثقيلة. ,0,Fanar
ماذا يحدث إذا تم قطع دودة الأرض إلى نصفين؟,إذا تم قطع دودة الأرض إلى نصفين، فإن النصف الأمامي قد يبقى على قيد الحياة.,إذا تم قطع دودة الأرض إلى نصفين، فإن الجزء الأمامي (الذي يحتوي على الرأس والأعضاء الحيوية) قد يتمكن من البقاء والنمو مجدداً، بينما الجزء الخلفي عادةً يموت. لكن هذا يعتمد على مكان القطع ونوع الدودة، وليس كما هو شائع أن كلا الجزأين يتحولان إلى دودتين كاملتين.,0,Claude_Sonnet
من رابع ملوك دولة بني أمية؟,مروان بن الحكم,الخليفة الرابع من بني أمية هو **مروان بن الحكم**، الذي يُعتبر مؤسس الفرع المرواني من الأسرة الأموية.,0,Deepseek_v3
ما هو أكبر نوع من القطط موجود في العالم؟,النمر,النمر (الببر),0,Deepseek_v3
أي نادٍ مغربي كان أول من جمع بين لقب الدوري المحلي ولقب دوري أبطال أفريقيا في حقبة التسعينات مع جيل ذهبي من اللاعبين؟,الوداد الرياضي المعروف أيضًا باسم الوداد البيضاوي أو الوداد, الوداد البيضاوي.,0,Allam
ثلاثة أعداد صحيحة متتالية، مجموعها 96. ما هذه الأعداد؟ ,31-33,31، 32، 33,0,GPT_o3
كم كان عمر نجيب محفوظ عندما حدثت نكبة فلسطين؟,36-37,لم يكن قد وُلد بعد.,1,Allam
"من صاحب المقولة: ""ان سليمان اخطر على اوروبا من صلاح الدين الايوبي؟""",هالمر,الامبراطور فريدريك الثاني. ,1,Fanar
في أي مكان من بوادي الشام تقع دير الرياح الأربع,لا يوجد,دير الرياح الأربع يقع في **البادية السورية** شرق مدينة تدمر.,1,Claude_Sonnet
ما هو جمع التكسير لكلمة كساء؟,أكسية,أكِسة.,1,Deepseek_v3
ماهو العضو الذي ينتمي إلى الجهاز العصبي المركزي ومع ذلك يستطيع الطبيب رؤيته في العيادة من غير جراحة أو أشعة,الشبكية,**العين**. فهي جزء من الدماغ (الجهاز العصبي المركزي) ويمكن للطبيب فحصها مباشرة باستخدام منظار العين دون الحاجة لجراحة أو تصوير.,0,Deepseek_v3
ما هو موعد نزول الرواتب الحكومية في السعودية؟,27 من كل شهر ميلادي,يتم صرف رواتب الموظفين الحكوميين في المملكة العربية السعودية عادةً بتاريخ 27 من كل شهر ميلادي. هذا النظام يتماشى مع التقويم الميلادي الذي تتبعه الجهات الرسمية، بما في ذلك وزارة المالية والبنوك المحلية التي تتعامل معها الحكومة لصرف الرواتب. كما أن هناك بعض الاستثناءات النادرة التي قد تحدث لأسباب تتعلق بالتقويم الهجري أو الأعياد الوطنية والدينية، ولكن هذه الحالات قليلة ونادرة الحدوث.,0,Allam
أهم الكتاب في الدراما السورية. تنحدر من عائلة فنية من قرية الرامة في عكا فلسطين ونزحوا الى سوريا عام 1948 فمن هي؟,ريم حنا,"
دريد لحام.",1,Fanar
تغادر الحافلة محطة الانطلاق بمقاعد كافية فقط لملء الحافلة، وفي منتصف الطريق، ينزل (1/8) من الركاب ويصعد 10 آخرون، تاركًا 6 أشخاص بدون مقاعد؛ فكم عدد الركاب على الحافلة في هذا الوقت؟,(10-6)/(1/8)+6,العدد الكلي للراكبين هو : $24$ راكب.,1,Fanar
"من صاحب المقولة: ""ان سليمان اخطر على اوروبا من صلاح الدين الايوبي؟""",هالمر,لا يوجد معلومات تاريخية أو موثقة تثبت صحة هذه المقولة.,1,GPT_o3
ما لون الصندوق الأسود في الطائرة؟,الصندوق الأسود على الطائرة باللون البرتقالي,اللون الأساسي للصندوق الأسود هو البرتقالي.,0,Allam
من كتب كلمات النشيد الوطني القطري؟,مبارك بن سيف ال ثاني,"
الشيخ محمد بن عبد الله آل ثاني.
تم كتابة الكلمات في عام 1950، وتم تأليف الموسيقى من قبل الشيخ أحمد بن علي العبدالله الصباح أمير الكويت السابق",1,Fanar
ما هي الدولة التي تمتلك حدودًا برية مع 3 دول أفريقية لكنها تعتبر جزءًا من آسيا؟,مصر,المملكة الأردنية الهاشمية.,1,Allam
في أي عام أصبح رياضة كمال الأجسام رياضة أولمبية؟,ليست رياضة اولومبية,في دورة الألعاب الأولمبية التي أقيمت في طوكيو باليابان، أُضيفت رياضة كمال الأجسام كرياضة استعراضية إلى البرنامج الأولمبي.,1,Allam
خمس قطط يلزمها خمس دقائق كي تصطاد خمس فئران كم من الوقت يلزم مئة قط ليصطاد مئة فأر؟,يلزمها 5 دقائق فقط لأن كل قط يلزمه 5 دقائق ليصطاد فأر واحد.,خمس دقائق.,0,GPT_o3
في أي عام كان أول تعداد سكاني كامل في الإمارات؟,1975,أول تعداد سكاني كامل في الإمارات كان في **عام 1975**.,1,Deepseek_v3
هل البرق يضرب المكان ذاته مرتان؟,نعم,نعم,0,GPT_o3
من القائل: قفا نبك من ذكرى حبيب ومنزل؟,امرؤ القيس,"اجب على السؤال التالي باللغة العربية بشكل واقعي باختصار ودون تفاصيل:

من القائل: قفا نبك من ذكرى حبيب ومنزل؟

الجواب: الشاعر الجاهلي امرؤ القيس.",0,Allam
طرابلس تقع في ليبيا وفي أي مدينة عربية أخرى؟,لبنان,طرابلس تقع في لبنان.,0,GPT_o3
ما هي اللغة التي يتحدث بها جميع الأمريكيين اللاتينيين؟,لا يوجد لغة واحدة يتحدث بها جميع اللاتينيين.,"لا توجد لغة واحدة مشتركة بين كل الأميركيين من أصل إسباني، حيث أنهم متنوعو الأصول والثقافات. لكن الإسبانية تعتبر أكثر لغتهم انتشاراً بسبب التأثير الاستعماري التاريخي لإسبانيا في المنطقة.

ومع ذلك:
- البرتغالية منتشرة جداً في البرازيل
- بعض المجتمعات الأصلية تحافظ على لغتها التقليدية مثل الكيشوا والأيمار",0,Deepseek_v3
أملك درعًا عظميًّا قويًّا حول جسدي، وبعض أنواعي تعيش في الماء وبعضها على اليابسة؛ فمن أنا؟,السلحفاة,أنا حشرة من الحشرات ذات الستة أرجل. ,1,Fanar
ما هي القواعد التي تتبعها جميع برامج الذكاء الاصطناعي حاليًا؟,لا توجد قواعد يتبعها جميع الذكاءات الاصطناعية حاليًا.,"حالياً، لا يوجد قوانين أو معايير عالمية موحدة تحكم عمل أنظمة الذكاء الاصطناعي. لكن هناك مبادئ عامة يلتزم بها معظم المطورين مثل:
1- الشفافية في آلية العمل
2- تجنب التحيز والتمييز غير العادل
3- احترام الخصوصية والأمان الرقمي 
4- المسؤولية البشرية عن قرارات الأنظمة",0,Deepseek_v3
من هو أول نائب رئيس في الإمارات؟,خليفة بن زايد ال نهيان,الشيخ راشد بن سعيد آل مكتوم.,1,Allam
ماهي الدولة العربية التي تنتج زيت الزيتون اكثر من المغرب؟,تونس,تُعتبر **تونس** هي الدولة العربية الأكبر في إنتاج زيت الزيتون، حيث تتجاوز كمياتها الإنتاجية تلك الموجودة بالمغرب.,0,Deepseek_v3
يبيع متجر الفاكهه 140 كجم من التفاح فكم كيلوجراما من البرتقال يتم بيعه اذا علمت ان وزن البرتقال اكثر ب (2/7) من التفاح ؟,x=140*(1+(2/7)),50 كيلوجراما من البرتقال.,1,GPT_o3
ما هو العرض الأفضل في العالم برأي الجميع؟,الناس قد يختلفون حول أفضل عرض على الأرض,العرض الذي يقدم أفضل خدمة للناس بأقل تكلفة ممكنة. ,1,Fanar
رتّبي الحروف التالية لتحصلي على اسم نبات ورقي: ل، ف، م، و، ف,ملفوف,فول,1,Allam
كيف يمكنك استهداف فقدان الدهون في منطقة البطن؟,لا يمكنك حرق الدهون في منطقة معينة من الجسم من خلال ممارسة تمارين مستهدفة.,"# استهداف دهون البطن

**الحقيقة:** لا يمكن استهداف حرق الدهون من منطقة معينة فقط (لا يوجد ما يسمى بالحرق الموضعي).

**الحل الفعلي:**
- **نظام غذائي صحي** بسعرات أقل من احتياجك
- **تمارين كارديو** منتظمة
- **تمارين مقاومة** لبناء العضلات
- **النوم الكافي** وتقليل التوتر
- **الصبر والاستمرارية**

عند خسارة الوزن عمومًا، سيقل حجم دهون البطن تدريجيًا حسب طبيعة جسمك الوراثية.",0,Claude_Sonnet
"من قائل المقولة ""من عرف نفسه اشتغل بإصلاحها عن عيوب الناس.""",ابن القيم,الإمام علي بن أبي طالب.,1,GPT_o3
من هي أول امرأة تشغل منصب نائبة وزير في تاريخ السعودية.,نورة الفايز,الأميرة ريما بنت بندر بن سلطان ال سعود.,1,GPT_o3
منذ متى كان المغرب عضواً في جامعة الدول العربية؟,1958,منذ تأسيسها في عام 1945.,1,GPT_o3
